number	file_name	vulnerability	severity	is_sensitively_vulnerable	CWE/CVE/New	confidence_score	sensitive_function_responsible	standard_or_custom	explanation	code_snippet
13	twitch.tv.js	URL Redirection (Open Redirect	Medium	true	CWE-601	N/A	new URL	standard	{The function `new URL(i.redirectUrl)` is used to parse a URL from the `redirectUrl` field in notification data, which is user-controlled via push messages. Without validation, this allows an attacker to redirect users to arbitrary domains, resulting in an open redirect. The subsequent `focus()` or `navigate()` operations on the client window execute this redirection, posing a security risk.}	```var e = new URL(i.redirectUrl), r = 0, o = t, n.label = 2;```
14	ampproject.org.js	Improper Error Handling for Missing 'q' Parameter Leading to DoS	Medium	false	N/A	0	N/A	N/A	{The vulnerability arises from improper handling of the case when the 'q' parameter is missing in the URL search string. The code assumes the parameter is present and attempts to access index [1] of the match result, which will be undefined, leading to a runtime error. This is not due to misuse of a sensitive function but rather a logic flaw in error handling.}	```const searchQuery = decodeURIComponent(url.search.match(/q=([^&]+)/)[1]);```
15	ampproject.org.js	Incorrect Cache Deletion Leading to Data Inconsistency	Medium	false	N/A	0	N/A	N/A	{The vulnerability stems from the use of `cache.delete(request, { ignoreSearch: true });` which may delete unintended cache entries due to the `ignoreSearch` option. However, this is not a misuse of a sensitive function per se, but rather a misconfiguration or misunderstanding of the `ignoreSearch` behavior. The function `cache.delete()` is used correctly in terms of security, but the logic may lead to data inconsistency.}	```cache.delete(request, { ignoreSearch: true });```
16	crashlytics.com.js	Deserialization of Untrusted Data	High	true	CWE-502	10	N/A	standard	{The function `Ma` is a deserialization function (Ea(Ka)) that parses JSON input from untrusted sources (e.g., `b.data` from a message event). Since the input is not sanitized or validated, an attacker can craft malicious JSON payloads to trigger arbitrary object creation or code execution, leading to deserialization of untrusted data.}	```var d; try { d = Ma(c); } catch (h) { return; } var e = O(d, 1);```
17	crashlytics.com.js	Insecure Direct Object Reference	Medium	false	N/A	0	N/A	N/A	{The `postMessage` function is used to send data to clients, but the vulnerability is not due to misuse of a sensitive function. The issue stems from lack of proper access control or validation on the recipient client, not from the function itself being misused with untrusted input.}	```d.postMessage(b);```
18	crashlytics.com.js	Improper Input Validation	Medium	false	N/A	0	N/A	N/A	{The `fetch` method is used in a context where the input is not validated, but the vulnerability is not caused by misuse of a sensitive function. The issue lies in the logic flow and lack of input sanitization, not in the function being inherently misused with dynamic input.}	```var b = new Va(a.g, b).fetch();```
19	crashlytics.com.js	Improper Error Handling	Low	false	N/A	0	N/A	N/A	{The `da` function is used to throw errors asynchronously, but it is not misused with untrusted input. The vulnerability is due to improper error handling logic, not because of a sensitive function being improperly used with dynamic data.}	```da(a);```
20	quora.com.js	Unrestricted Import of Code from Untrusted Sources	Medium	true	CWE-434	9	importScripts	standard	{The importScripts() function is a standard JavaScript API used in Service Workers to load and execute external scripts. In this case, it is used to import a script from a remote URL (https://qsbr.cf2.quoracdn.net/-4-service_worker.js.out-34-3636fddc6fb8525d.webpack). Although the URL is hardcoded, the domain (qsbr.cf2.quoracdn.net) is not under direct control of the application developer and could be compromised or misconfigured, allowing an attacker to serve malicious code. This constitutes a sensitive function misuse because importScripts() executes code from an external source without any validation or sanitization, leading to potential code injection and compromise of the service worker’s execution context.}	"```self.importScripts(""https://qsbr.cf2.quoracdn.net/-4-service_worker.js.out-34-3636fddc6fb8525d.webpack"");```"
21	walmart.com.js	Insecure postMessage Usage	High	true	N/A	N/A	postMessage	standard	{The postMessage function is used to send messages between service worker and client frames. The code does not validate or sanitize the message data received from the client, allowing an attacker to inject arbitrary data that could be executed in the context of the service worker. This can lead to unauthorized access, data exfiltration, or further exploitation of the service worker's capabilities.}	```const e = new Map(), t = (e, t) => ({ F: e.F, p: t }), r = (e, t) => new Response(e, { headers: { 'content-type': t || 'text/html', 'Cache-Control': 'no-store' } }); self.onmessage = t => { const r = t.data, n = e.get(r.F); n && (e.delete(r.F), clearTimeout(n[1]), n[0](r)); };```
22	walmart.com.js	Improper Input Validation	Medium	false	N/A	N/A	N/A	N/A	{The vulnerability arises from improper validation of the URL path in the onfetch handler. While the code checks if the pathname ends with 'proxytown', it does not validate or sanitize the input from the request. However, this is not caused by misuse of a sensitive function like importScripts or eval, but rather by a logic flaw in input handling.}	```self.onfetch = n => { const i = n.request, s = new URL(i.url).pathname; s.endsWith('proxytown') && n.respondWith((n => new Promise(async i => { const s = await n.clone().json(), o = await (r => new Promise(async n => { const i = ((e, t) => { const r = t.split('.').pop(); let n = e.find(e => e.url.endsWith(`?${r}`)); return n || (n = [...e].sort((e, t) => e.url > t.url ? -1 : e.url < t.url ? 1 : 0)[0]), n; })([...(await self.clients.matchAll())], r.F); if (i) { const s = [n, setTimeout(() => { e.delete(r.F), n(t(r, 'Timeout')); }, 1e4)]; e.set(r.F, s), i.postMessage(r); } else n(t(r, 'NoParty')); }))(s); i(r(JSON.stringify(o), 'application/json')); }))(i); };```
23	duolingo.com.js	Insecure Resource Loading via importScripts	Medium	false	CWE-434	N/A	N/A	N/A	{The importScripts calls use hardcoded, trusted paths (./sw/gcm.js and ./sw/offline.js) and do not involve dynamic or user-controlled input. Therefore, while the function itself is sensitive, its usage here is not vulnerable to misuse.}	"```importScripts(""./sw/gcm.js"");importScripts(""./sw/offline.js"");```"
24	sentinelone.net.js	Insecure Direct Object References (IDOR) via URL Exclusion Bypass	High	false	N/A	N/A	N/A	N/A	{The vulnerability arises from a hardcoded list of excluded URLs that are bypassed without proper validation or sanitization. The code checks for substring matches using `indexOf`, which is not sufficient to prevent crafted URLs from bypassing the exclusion logic. This is not caused by misuse of a sensitive function but by flawed logic in URL filtering.}	```if (event.request.url.indexOf(excludedLinks[i]) !== -1) { return; }```
25	sentinelone.net.js	Improper Validation of HTTP Request Headers	Medium	false	N/A	N/A	N/A	N/A	{The code checks for 'ngsw-bypass' in headers or URL search parameters using `has()` and regex, but does not validate the context or origin of the request. This is a logic flaw rather than misuse of a sensitive function.}	```if (req.headers.has('ngsw-bypass') || /[?&]ngsw-bypass(?:[=&]|$)/i.test(requestUrlObj.search)) { return; }```
26	sentinelone.net.js	Insecure Cache Busting Mechanism	Medium	true	N/A	N/A	`this.cacheBust`	custom	{The `cacheBust` method appends a random value to the URL without validating or sanitizing the input URL. This can lead to unintended cache-busting behavior or injection if the URL contains dynamic parameters. The function is custom and misused by directly concatenating a random string to the URL without proper sanitization.}	```const cacheBustReq = this.newRequestWithMetadata(this.cacheBust(req.url)```
27	sentinelone.net.js	Insecure Hash Algorithm (SHA)	Low	false	N/A	N/A	N/A	N/A	{The use of SHA-1 is a cryptographic weakness, but it is not caused by misuse of a sensitive JavaScript function. The function `sha1` is implemented internally and used for hashing, but the vulnerability stems from the algorithm choice, not improper function usage.}	```function sha1(str) { const utf8 = str; const words32 = stringToWords32(utf8```
28	sentinelone.net.js	Insecure Notification Content Handling	High	true	N/A	N/A	`showNotification`	standard	{The `showNotification` method is used with user-controlled data from the `desc['title']` field without sanitization. This allows an attacker to inject arbitrary content into notifications, potentially leading to phishing or social engineering attacks. The function is a standard browser API and is misused by passing unsanitized data directly.}	```await this.scope.registration.showNotification(desc['title']```
29	sentinelone.net.js	Insecure Window Opening	Medium	true	N/A	N/A	`openWindow`	standard	{The `openWindow` method is called with a URL constructed from `urlToOpen`, which is derived from user-controlled data (`onActionClick.url`). This allows an attacker to redirect users to arbitrary websites, potentially leading to phishing or malware distribution. The function is a standard browser API and is misused by passing unsanitized user input.}	```await this.scope.clients.openWindow(urlToOpen);```
30	xhamster.com.js	Empty Fetch Event Listener Leading to Misconfigured Caching	Low	false	N/A	N/A	N/A	N/A	{The empty fetch event listener does not involve any sensitive function misuse; it merely registers a no-op handler, which may lead to misconfigured caching but does not stem from improper use of a sensitive function.}	```self.addEventListener('fetch', () => {});```
31	xhamster.com.js	Cache Poisoning via Unvalidated Message URLs	Medium	true	N/A	N/A	importScripts	standard	{The vulnerability arises from the use of importScripts() with dynamically constructed URLs derived from message payloads. Although importScripts() is not directly called in the provided code, the code processes message data to construct and handle requests that could lead to cache poisoning if the URLs are not validated. However, upon closer inspection, the code does not actually call importScripts() — it uses caches.open() and caches.match() for caching. Therefore, the original detection is misleading. The actual issue is that the code processes unvalidated URLs from message payloads (e.g., t.urlsToCache) and uses them to create Requests, which could lead to cache poisoning if the URLs are malicious. But since no sensitive function like importScripts() is used, this is not a sensitive function misuse.}	```self.addEventListener('message', e => { if (e.data && 'CACHE_URLS' === e.data.type) { let { payload: t } = e.data, n = Promise.all(t.urlsToCache.map(e => { 'string' == typeof e && (e = [e]); let t = new Request(...e); return this.handleRequest({ request: t }); })); e.waitUntil(n), e.ports && e.ports[0] && n.then(() => e.ports[0].postMessage(!0)); } });```
32	elmundo.es.js	Insecure Third-Party Script Import	High	true	CWE-496	10	importScripts	standard	{The importScripts() function is a standard JavaScript API used in Service Workers to load and execute external scripts. When used with a hardcoded URL pointing to an untrusted third-party domain (as in 'https://aswpsdkeu.com/notify/v1/ua-sdk.min.js'), it introduces a high-risk vulnerability. The script from the external domain can be modified by an attacker, leading to arbitrary code execution within the service worker context, potentially compromising user data, intercepting network requests, or performing malicious actions under the site’s authority.}	```importScripts('https://aswpsdkeu.com/notify/v1/ua-sdk.min.js');```
33	sportybet.com.js	Insecure Resource Loading	High	true	N/A	10	importScripts	standard	{The importScripts() function is a standard Service Worker API that loads and executes a script from a specified URL. In this case, the URLs are hardcoded and point to external resources (//s.sporty.net/global/main/sw-toolbox.js and //s.sporty.net/global/main/sw-script.js). While the URLs are not dynamically constructed from untrusted input, the use of external scripts introduces a high-risk dependency. If the external server is compromised or the script is tampered with, the service worker could execute malicious code, leading to cache manipulation, data exfiltration, or request interception. This constitutes a high-severity vulnerability due to the trust placed in external resources.}	"```importScripts(""//s.sporty.net/global/main/sw-toolbox.js"")```"
34	sportybet.com.js	Insecure Resource Loading	High	true	N/A	10	importScripts	standard	{The importScripts() function is a standard Service Worker API that loads and executes a script from a specified URL. In this case, the URLs are hardcoded and point to external resources (//s.sporty.net/global/main/sw-toolbox.js and //s.sporty.net/global/main/sw-script.js). While the URLs are not dynamically constructed from untrusted input, the use of external scripts introduces a high-risk dependency. If the external server is compromised or the script is tampered with, the service worker could execute malicious code, leading to cache manipulation, data exfiltration, or request interception. This constitutes a high-severity vulnerability due to the trust placed in external resources.}	"```importScripts(""//s.sporty.net/global/main/sw-script.js"")```"
35	wps.com.js	Hardcoded API Secret in Fetch Request	High	false	N/A	N/A	N/A	N/A	{The vulnerability is due to hardcoded credentials in the fetch URL, not misuse of a sensitive function. The fetch function is used correctly, but the secret is exposed in plaintext.}	```fetch('https://www.google-analytics.com/mp/collect?api_secret=nSUqwfDIRYCHAa-PV8gS5Q&measurement_id=G-3TZLKYJJ0E', { method: 'POST', body: JSON.stringify({ client_id: cid, events: [{ name: 'fb_webpush', params: { install_id: data, action: action, title: title, body: body, label: options?.label || '', message_id: options?.message_id || '', push_msg_id: id } }] }) });```
36	wps.com.js	Open Redirect via Unvalidated Notification Data	Medium	true	N/A	N/A	clients.openWindow	standard	{The clients.openWindow function is used with a dynamic URL (jumpUrl) derived from notification.data.url, which is unvalidated and potentially controlled by an attacker. This allows an attacker to redirect users to arbitrary websites, leading to phishing or malicious redirection.}	```clients.openWindow(jumpUrl);```
37	wps.com.js	Open Redirect via Unvalidated Push Payload	Medium	true	N/A	N/A	clients.openWindow	standard	{The clients.openWindow function is used with a dynamic URL (notificationClickJumpUrl) derived from the push payload, which is unvalidated and potentially controlled by an attacker. This allows an attacker to redirect users to arbitrary websites, leading to phishing or malicious redirection.}	```clients.openWindow(notificationClickJumpUrl);```
38	telegraaf.nl.js	External Script Inclusion Risk	High	true	N/A	9	importScripts	standard	{The importScripts() function is a standard JavaScript API used in Service Workers to load and execute external scripts. In this case, it is used to load a script from a third-party domain ('https://aswpsdkus.com/notify/v1/ua-sdk.min.js'). While the URL is hardcoded, the risk arises because the script is loaded from an external, untrusted source. If the external script is compromised or malicious, it can execute arbitrary code within the context of the service worker, leading to potential data exfiltration, cache manipulation, or interception of network requests. Although the URL is not dynamically constructed from user input, the reliance on an external script introduces a high-risk dependency that can be exploited if the third-party source is not fully trusted or is compromised.}	```importScripts('https://aswpsdkus.com/notify/v1/ua-sdk.min.js');```
39	nu.nl.js	Insecure External Script Loading	Medium	true	N/A	9	importScripts	standard	"{The importScripts() function is a standard service worker API that loads and executes external scripts. When used with a hardcoded URL, it is not inherently dangerous, but if the URL were derived from untrusted input (e.g., user-controlled parameters), it could lead to arbitrary script execution. However, in this case, the URLs are hardcoded and not dynamically constructed from user input, so the vulnerability is not due to sensitive function misuse. Therefore, the vulnerability is not classified as ""sensitively_vulnerable"" because the function is used safely with static, trusted URLs.}"	```self.importScripts('https://web-sdk.dpns-notifications.com/PNSServiceWorker.js');```
40	varzesh3.com.js	Open Redirect	High	true	CWE-601	9	N/A	standard	{The vulnerability arises from the use of `clients.openWindow(n)` where `n` is derived from `i.url` or `i.Url` in `t.notification.data`. Since this data is untrusted and can be controlled by an attacker via push notifications, it allows for an open redirect. The `clients.openWindow()` function is a standard browser API that opens a new window or tab with the specified URL, and when used with unsanitized input, it can be exploited to redirect users to malicious sites.}	"```const i = t.notification.data || {}, n = i.url || i.Url || ""/""; t.notification.close(), t.waitUntil(clients.matchAll({ type: ""window"", includeUncontrolled: !0 }).then(function (t) { if (t.length > 0) { let i = t[0]; for (let n = 0; n < t.length; n++) t[n].focused && (i = t[n]); if (n.toLowerCase() == i.url) return i.focus(); } return clients.openWindow(n); }));```"
41	lichess.org.js	Open Redirect via User-Controlled Navigation	Medium	true	CWE-602	9	clients.openWindow	standard	{The function clients.openWindow is used to open a new window with a URL derived from user-controlled data (e.g., t.fullId, t.threadId, etc.). Since the URL is constructed dynamically from untrusted input without validation or sanitization, an attacker can craft a notification payload that redirects users to arbitrary external sites, leading to an open redirect vulnerability.}	```let n = e.notification.data.userData, t = t.path || \'/\'; t.fullId ? n = \'/\' + t.fullId : t.threadId ? n = \'/inbox/\' + t.threadId : t.challengeId ? n = \'/\' + t.challengeId : t.streamerId ? n = \'/streamer/\' + t.streamerId + \'/redirect\' : t.mentionedBy ? n = \'/forum/redirect/post/\' + t.postId : t.invitedBy && (n = \'/study/\' + t.studyId);```
42	divar.ir.js	Open Redirect	High	true	N/A	9	clients.openWindow	standard	{The function clients.openWindow is used to open a new window with a URL constructed from user-controlled data (a.id or a.mng_token). Since these values are derived from notification data, which can be manipulated by an attacker, this allows for open redirect attacks where the user is redirected to arbitrary URLs, potentially leading to phishing or malicious site redirection.}	```const { action: e, params: a } = t?.notification?.data || {}; switch (e) { case ACTION_TYPES.OPEN_CHAT_CONVERSATION: a?.id && t.waitUntil(clients.openWindow(`https://divar.ir/chat/${a.id}`)); break; case ACTION_TYPES.OPEN_CHAT_POSTCHI: t.waitUntil(clients.openWindow('https://divar.ir/chat/postchi')); break; case ACTION_TYPES.OPEN_POST_MANAGE: a?.mng_token && t.waitUntil(clients.openWindow(`https://divar.ir/manage/${a.mng_token}`)); }```
43	divar.ir.js	Improper Input Validation	Medium	true	N/A	9	JSON.parse	standard	"{The function JSON.parse is used on user-supplied data (n) after a simple string replacement (replaceAll(""'"", '""')), which is insufficient to sanitize or validate the input. This can lead to JSON parsing errors or, in some cases, injection of malicious payloads if the input is not properly validated, potentially leading to unintended behavior or data leakage.}"	```const { action: a, param: n, callback_url: s, title: i, body: c, source: r, push_id: o } = e; if ('divar' !== r) return; const l = JSON.parse(n.replaceAll(''', '''));```
44	dagbladet.no.js	Redundant Cache Registration for Same URL	Medium	false	N/A	0	N/A	N/A	{The vulnerability is not caused by misuse of a sensitive function, but rather by redundant registration of the same URL pattern with different cache configurations, which may lead to unexpected behavior or inefficiency in caching.}	```workbox.routing.registerRoute(/^https:\/\/personvern.aller.no\/vendorlist.json/, workbox.strategies.cacheFirst({ cacheName: 'vendorlist', plugins: [new workbox.cacheableResponse.Plugin({ statuses: [0, 200] }), new workbox.expiration.Plugin({ maxEntries: 100, maxAgeSeconds: month })] }), 'GET'); workbox.routing.registerRoute(/^https:\/\/personvern.aller.no\/vendorlist.json/, workbox.strategies.cacheFirst({ cacheName: 'vendorlistCache', plugins: [new workbox.cacheableResponse.Plugin({ statuses: [0, 200] }), new workbox.expiration.Plugin({ maxEntries: 1, maxAgeSeconds: year })] }), 'GET');```
45	manoramaonline.com.js	Code Injection	High	true	N/A	N/A	eval	standard	{The code snippet contains a direct use of `eval(body)` where `body` is the result of `response.text()`, meaning it executes arbitrary JavaScript received from a remote fetch. Since the URL for the fetch is dynamically constructed from the `e` object (which is derived from a request), and the response is not sanitized or validated, an attacker can control the content of the response, leading to arbitrary code execution. This is a classic case of code injection via `eval` with untrusted input.}	```const runScript = (thisScriptTag) => {\n if (!scriptTag) {\n let init = {\n method: '${e.method}',\n headers: ${function (e) {\n let t = {};\n for (let i of e.entries()) t[i[0]] = i[1];\n return JSON.stringify(t, null, '\t');\n }(e.headers)},\n mode: '${e.mode}',\n credentials: '${e.credentials}',\n cache: '${e.cache}',\n redirect: '${e.redirect}',\n referrer: '${e.referrer}',\n referrerPolicy: '${e.referrerPolicy}',\n integrity: '${e.integrity}'};\n \n let request = new Request('${r}', init);\n \n fetch(request).then((response) => {\n if (response.status === 200) {\n response.text().then((body) => {\n eval(body);\n });\n }\n });\n } else {\n setTimeout(function() {\n let scriptClone = document.createElement('script');\n \n for (let index = 0; index < scriptTag.attributes.length; index++) {\n let attribute = scriptTag.attributes.item(index);\n scriptClone.setAttribute(attribute.name, attribute.value);\n }\n \n scriptClone.src = '${r}';\n scriptClone.setAttribute('aka3pm', 'true');\n \n scriptClone.async = false;\n \n let parent = scriptTag.parentNode;\n parent.insertBefore(scriptClone, scriptTag);\n parent.removeChild(scriptTag);\n }, 0);\n }\n }```
46	blic.rs.js	Insecure External Resource Loading	High	true	N/A	9	importScripts	standard	{The importScripts function is a standard JavaScript API used in Service Workers to load and execute external scripts. When used with a hardcoded external URL, it introduces a risk if the external resource is compromised or if the script is not properly vetted. Although the URL is hardcoded here, the vulnerability is still considered sensitive because it allows execution of untrusted code from a third-party CDN, which could be exploited if the CDN is compromised or if the script is malicious. This is a known risk in service worker security, especially when relying on external SDKs.}	```importScripts('https://cdn.onesignal.com/sdks/OneSignalSDKWorker.js');```
47	simpcity.su.js	Improper Regular Expression Handling in URL Filtering	High	true	CWE-79	9	N/A	standard	{The vulnerability arises from the use of a regular expression in `request.url.match(/\/admin\.php|\/install\/|\/download($|&|\?)|[/?]attachments\/|google-ad|adsense/)` without proper escaping or sanitization. While the regex itself is static, the `match` function is applied to `request.url`, which is derived from the incoming fetch request — a dynamic, untrusted input. If an attacker can manipulate the URL to trigger unintended matches (e.g., via URL encoding, path traversal, or malformed query strings), they may bypass the intended filtering logic. This could allow access to restricted resources or enable unintended behavior, such as bypassing preloading or cache logic. The `match` function, being a standard JavaScript method, is misused here by applying it to untrusted input without validation or sanitization, leading to improper filtering.}	```const request = event.request; if (request.url.match(/\/admin\.php|\/install\/|\/download($|&|\?)|[/?]attachments\/|google-ad|adsense/)) { if (supportPreloading && event.preloadResponse) { event.respondWith(event.preloadResponse); } return; }```
48	aajtak.in.js	Third-party Code Vulnerability (Untrusted Script Import)	High	true	CWE-496	10	importScripts	standard	{The importScripts() function is a standard JavaScript API used in service workers to load and execute external scripts. While the URL 'service-worker-izooto.js' is hard-coded and not dynamically derived from untrusted input, the act of importing third-party scripts introduces a high-risk vulnerability because the script's content is not under the control of the application. This allows the third-party script to potentially perform malicious actions such as intercepting network requests, modifying cache behavior, or exfiltrating data. Although not dynamically sourced, the lack of trust in the third-party script constitutes a sensitive function misuse in the context of service worker security.}	```importScripts('service-worker-izooto.js');```
49	saednews.com.js	Cross-Site Scripting (XSS) via unvalidated push notification data	High	true	CWE-79	9	N/A	standard	{The function `self.registration.showNotification()` is used with data derived from `event.data.json()`, which is unvalidated and potentially controlled by an attacker. If the notification title or body contains malicious script, and if the browser renders it in a context where script execution is possible (e.g., via rich notification content or DOM injection), it can lead to XSS. The data is not sanitized, making this a direct misuse of a standard API that accepts untrusted input.}	"```const data = event.data ? event.data.json() : { title: ""Notification from "" + self.registration.scope, link: ""/"" }; if ((self.Notification || {}).permission === ""granted"") { data.tag = ""app.sw.notification""; data.renotify = true; await self.registration.showNotification(data.title, data); }```"
50	saednews.com.js	Open Redirect via unvalidated notification click handler	Medium	true	CWE-601	8	N/A	standard	{The function `self.clients.openWindow(link)` is called with a `link` value derived from unvalidated notification data. Since the `link` is not sanitized or validated against a whitelist of allowed origins, an attacker can craft a notification with a malicious URL, causing the browser to open an arbitrary external site, leading to an open redirect. This is a misuse of a standard API that accepts untrusted input without proper validation.}	```if (self.clients.openWindow) { await self.clients.openWindow(link); }```
