file_name	vulnerability	severity	CWE/CVE/NEW	code_snippet
blogas.lt.js	Insecure Handling of Push Subscription Data	High	CWE-312	" self.addEventListener('pushsubscriptionchange'
blogas.lt.js	Insecure User Agent Detection for Browser Version Check	Medium	CWE-20	"var chromeVersionMatch = navigator.userAgent.match(/Chrome\/97.0.(\d+)/), isBrokenChrome97 = chromeVersionMatch && parseInt(chromeVersionMatch[1]) <= 4692;
blogas.lt.js	Improper Authorization in Message Event Handler	Medium	CWE-306	 self.addEventListener('message'"
dideo.ir.js	Improper Validation of Request URL Leading to SSRF	Medium	CWE-918	self.addEventListener('fetch', event => { event.respondWith(caches.open(cacheName).then(cache => { return cache.match(event.request).then(res => { return res || fetch(event.request); })); }));
holidaypirates.com.js	Insecure Caching of Redirected Responses	High	CWE-918	javascript function m(e) { if (void 0 === f) { const e = new Response(''); if ('body' in e) try { new Response(e.body), f = !0; } catch (e) { f = !1; } f = !1; } return f; }() ? r.body : await r.blob(); return new Response(o, i); }
balkanbet.rs.js	Denial of Service via HTML Response Handling	High	New	if (e.clientId && t) try { e.respondWith(fetch(e.request, { mode: \'same-origin\' }).then(function (t) { return t.clone().text().then(function (n) { return \'<\' === n[0] ? self.clients.get(e.clientId).then(function (e) { return e ? (e.postMessage({ type: \'SEVEN:InvalidJSFile\' }), new Promise(function (e) { setTimeout(function () { e(n); }, 5e3); })) : t; }) : t; }); }).catch(function () {}); } catch (e) { console.error(e); }
wwesupercard.com.js	Vulnerable Cache Poisoning via URL Manipulation	High	New	const i = new n((({ url: e }) => e.href === t.href), s, a);
taqi.com.br.js	Use of Hard-coded Credentials	High	CWE-798	var config = '{\'appserviceKey\':\'BDNQJPvJ9vMlsvdCXMJP9t_998ZEVAi0Zqle05vlmBO5JeHyvbphn31Ix3J0-qR73kdO6jen49ZWR1hfWMFmxUY=\',\'apiKey\':\'ABEjk2gytvox-mUmRMDWW7f5A\',\'accountToken\':\'ABEkmJkYFlhaRUUwmYng5TfWI\',\'appver\':\'0.0.0\',\'apiHost\':\'https://api.pushio.com\',\'lazy\':false}';
taqi.com.br.js	CWE-200: Information Exposure	High	CWE-200	var config = '{\'appserviceKey\':\'BDNQJPvJ9vMlsvdCXMJP9t_998ZEVAi0Zqle05vlmBO5JeHyvbphn31Ix3J0-qR73kdO6jen49ZWR1hfWMFmxUY=\',\'apiKey\':\'ABEjk2gytvox-mUmRMDWW7f5A\',\'accountToken\':\'ABEkmJkYFlhaRUUwmYng5TfWI\',\'appver\':\'0.0.0\',\'apiHost\':\'https://api.pushio.com\',\'lazy\':false}';
futemax.plus.js	Improper Hostname Validation	Medium	CWE-20	if (urlVerify.host != self.location.host && !urlVerify.host.includes('cdnimages') && !urlVerify.host.includes('.embedmax.com') && urlVerify.host != 'fonts.googleapis.com') return;
apostamax.bet.js	Uncontrolled Resource Consumption (High Cache Entries)	High	CWE-400	const t = { maxEntries: 99999999, maxAgeSeconds: 21600 };
ifood.it.js	Open Redirect via Unvalidated URL in Notification Data	High	CWE-601	event.waitUntil(clients.openWindow(d));
ifood.it.js	Improper URL Encoding in Fetch Requests	Medium	CWE-113	let fetchRes = fetch('https://re-02.magellanotech.it' + '/api/beaconpush.gif/?site_name=ifood.it&push_send_id=' + body['push_send_id'] + '&event_name=' + 'view' + '&channel_id=' + body['channel_id']);
buywholefoodsonline.co.uk.js	Improper Cache Deletion Handling	Medium	New	' const cacheKeysList = [CACHE_NAME]; event.waitUntil(caches.keys().then(keyList => { return Promise.all(keyList.map(key => { if (cacheKeysList.indexOf(key) === -1) { return caches.delete(key); } }))); })); '
eataly.net.js	Vulnerable Cache Pre-Caching Leading to Data Exposure	High	New	const options = { \'preCaching\': [\'/?standalone=true\'] };
eataly.net.js	Malformed URL Pattern in Runtime Caching Leading to Cache Poisoning	Medium	New	\'urlPattern\': \'^undefined/.*\', \'handler\': \'NetworkOnly\'
scoredit.com.js	External Script Import Vulnerability	High	CWE-434	importScripts('https://api.pushnami.com/scripts/v2/pushnami-sw/643703d395094f00131b7790');
brueggers.com.js	Hardcoded Secret Token	High	CWE-798	uaSetup.worker(self
taptogame.com.js	Cache Poisoning (CWE-434)	High	CWE-434	const entry of options.runtimeCaching) { const urlPattern = new RegExp(entry.urlPattern); const method = entry.method || 'GET'; const plugins = (entry.strategyPlugins || []).map(p => new (getProp(workbox, p.use))(...p.config)); plugins.unshift(requestInterceptor); const strategyOptions = { ...entry.strategyOptions, plugins }; const strategy = new workbox.strategies[entry.handler](strategyOptions); workbox.routing.registerRoute(urlPattern, strategy, method); }
taptogame.com.js	Improper Error Handling (CWE-754)	Medium	CWE-754	fetchDidFail(ctx) { ctx.error.message = '[workbox] Network request for ' + ctx.request.url + ' threw an error: ' + ctx.error.message; console.error(ctx.error, 'Details:', ctx); }, handlerDidError(ctx) { ctx.error.message = `[workbox] Network handler threw an error: ` + ctx.error.message; console.error(ctx.error, 'Details:', ctx); return null; }
taptogame.com.js	Insecure Content Caching (CWE-922)	Medium	CWE-922	const strategy = new workbox.strategies[entry.handler](strategyOptions); workbox.routing.registerRoute(urlPattern, strategy, method);
cluset.com.js	Untrusted External Script Import	High	CWE-434	importScripts('https://static.production.almightypush.com/mng/channels/sw.min.js');
laagendalsposten.no.js	Server Side Request Forgery (SSRF) via unvalidated URL in message handler	High	CWE-918	const response = await fetch(url, { method: \'HEAD\' });
laagendalsposten.no.js	Cache Poisoning via unvalidated URL in message handler	Medium	CWE-113	await cache.put(url, response);
laagendalsposten.no.js	Insecure Direct Object Reference (IDOR) in AB test URL handling	Medium	CWE-200	const url = new URL(request.url); activeTests.forEach(rule => url.searchParams.set(rule.id, rule.group));
fdcp.co.jp.js	Loading untrusted third-party script in Service Worker	High	New	typeof importScripts === 'function' && importScripts('https://booster.reproio.com/assets/js/sw');
mstaml.com.js	Improper Neutralization of Input During Dynamic Code Generation ('Code Injection')	Medium	CWE-79	self.clients.openWindow('/?showPwa=1').postMessage({ myNotificationClickData: event.notification.data });
mstaml.com.js	Exposure of Sensitive Information to an Unauthorized Actor	Low	CWE-200	firebase.initializeApp({ apiKey: 'AIzaSyBbo7DuaUW-ek8vf80ABbOQTl-OlJy3JfQ'
mstaml.com.js	Improper Neutralization of Special Elements within Web Pages ('Cross-site Scripting')	Medium	CWE-79	client.postMessage({ myNotificationClickData: event.notification.data });
youtube.fr.js	Hardcoded API Key Exposure	High	CWE-548	ytcfg.set({ \'INNERTUBE_API_KEY\': \'AIzaSyAO_FJ2SlqU8Q4STEHLGCilw_Y9_11qcW8\', ... });
ugaoo.com.js	Open Redirect via Unvalidated URL in Notification Click	High	CWE-601	event.waitUntil(clients.openWindow(event.action || event?.notification?.data?.url));
olympics.com.au.js	Untrusted Third-Party Script Inclusion	High	New	self.importScripts('https://js.appboycdn.com/web-sdk/5.1/service-worker.js');
geordiebootboys.com.js	Overly Broad Cache Deletion Regex	High	New	self.registration.navigationPreload && (await self.registration.navigationPreload.enable()), e.waitUntil(caches.keys().then(function (e) { return Promise.all(e.map(function (e) { return (/^grv-/.test(e) || /^AMP-/.test(e)) && -1 == expectedCaches.indexOf(e) ? caches.delete(e) : void 0; })); }));
realitytitbit.com.js	Caching Without Integrity Check	High	CWE-921	const version = '1.15.31', childVersion = '1.2.11', expectedCaches = ['grv-parent-' + version, 'grv-child-' + childVersion];self.addEventListener('install', function (e) { e.waitUntil(caches.open('grv-parent-' + version).then(function (e) { let t = ['/custom/themes/grv-media/js/app.js?ver=1.15.31', '/custom/themes/grv-media/css/deferred-carousel.css?ver=1.15.31', '/offline', '/custom/themes/grv-media/css/megamenu.css?ver=1.15.31']; return Array.isArray(t) || (t = []), e.addAll(t); })), e.waitUntil(caches.open('grv-child-' + childVersion).then(function (e) { let t = []; return Array.isArray(t) || (t = []), e.addAll(t); })); });
foxypool.io.js	Information Exposure Through Debug Endpoint	Medium	CWE-200	const msgIdle = `=== Idle Task Queue ===\nLast update tick: ${this.since(idle.lastTrigger)}\nLast update run: ${this.since(idle.lastRun)}\nTask queue:\n${idle.queue.map(v => \' * \' + v).join(\'\\n\')}\n\nDebug log:\n${this.formatDebugLog(this.debugLogB)}\n${this.formatDebugLog(this.debugLogA)}\n`;
bik.pl.js	Insecure External Script Import	High	CWE-434	importScripts('https://s-eu-1.pushpushgo.com/641ad7ded96bb2cf0b10630b/worker.js');
zproxy.org.js	Open Redirect via Notification Data	Medium	CWE-601	self.addEventListener('notificationclick', function (event) { event.notification.close(); let clickResponsePromise = Promise.resolve(); if (event.notification.data && event.notification.data.url) { clickResponsePromise = clients.openWindow(event.notification.data.url); } event.waitUntil(Promise.all([clickResponsePromise])); });
zproxy.org.js	Unvalidated External Resource in Notification	Medium	CWE-113	self.addEventListener('push', function (event) { const payload = event.data.json(); const notificationTitle = payload.data.title; let notificationOptions = { body: payload.data.body, icon: payload.data.icon, data: payload.data, badge: payload.data.badge || 'https://cdn.hullcode.com/webpush/images/badge.png' }; if (payload.data.image) { notificationOptions.image = payload.data.image; } const notificationPromise = self.registration.showNotification(notificationTitle, notificationOptions); event.waitUntil(Promise.all([notificationPromise])); });
ha-halden.no.js	Server Side Request Forgery (SSRF)	High	New	self.addEventListener(\'message\', event => { if (!event.data.type) { return; } const message3 = event.data.message || null; switch (event.data.type) { case message2: handler2(event, message3); break; case message: handler(event, message3); break; default: break; } });
haieronline.kz.js	Vulnerability in notification click handler: improper validation of client focus leading to potential phishing or resource exhaustion	Medium	CWE-20	self.addEventListener('notificationclick'
ljsilvers.com.js	Stale Content Caching (CWE-918)	Medium	CWE-918	workbox.routing.registerRoute(new RegExp(entry.urlPattern), strategy, method);
ljsilvers.com.js	CORS Bypass via Cache Manipulation	High	New	return new Request(request.url, { ...request, cache: 'default', mode: 'no-cors' });
ljsilvers.com.js	Supply Chain Risk (CWE-444)	Low	CWE-444	importScripts(...[options.workboxURL, ...options.importScripts]);
pando.life.js	Insecure URL Comparison in getWindowClientByUrl	High	CWE-203	var parsedClientUrl = new URL(clientList[i].url, self.location.href); if (parsedClientUrl == url) {
pando.life.js	Predictable Random Time Generation	Low	CWE-330	var randomTime = Math.floor(Math.random() * 20, 1) * 100;
pando.life.js	Unvalidated click_action URL in Notification Handling	High	CWE-601	click_action = event.notification.data.FCM_MSG.data.click_action;
pando.life.js	Exposure of Sensitive Firebase API Keys	High	CWE-532	const app = firebase.initializeApp({ \'apiKey\': \'AIzaSyCPz0VJKN8q216K6NTEQr8LwO0WeSpNw_8\', \'messagingSenderId\': \'4772246794\', ... });
360-value.com.js	Improper Cache Access Control	Medium	CWE-200	const OFFLINE_PATH = `${BASE_URL}/offline.html`;
360-value.com.js	Improper Cache Access Control	Medium	CWE-200	const MAINTENANCE_PATH = `${BASE_URL}/maintenance.html`;
360-value.com.js	Improper Input Validation	Low	CWE-20	self.addEventListener('message', event => {
opentv.media.js	Insecure External Script Loading	High	CWE-496	self['importScripts'](self['hostUrl'] + '/worker.js');
walksofitaly.com.js	Cache Poisoning via Unvalidated CacheFirst Strategy	High	CWE-444	workbox.routing.registerRoute(urlPattern, strategy, method);
pruksa.com.js	Insecure External Resource Loading	High	CWE-444	importScripts(\'https://cdn.qgraph.io/v3/r/qg-sw.js\');
nowafarmacja.pl.js	Improper Caching Strategy Leading to Denial of Service When Offline	Medium	New	self.addEventListener('install', function (event) { event.waitUntil(caches.open('shop-offline').then(function (cache) { return cache.addAll(['/pwa-offline.html']); })); });
acc.edu.au.js	Unauthenticated Message Handling Leading to Cache Clearing	Medium	New	self.addEventListener(`message`, event => { const { gatsbyApi: api } = event.data; if (api) MessageAPI[api](event, event.data); });
acc.edu.au.js	Arbitrary Function Execution via Unvalidated API Parameter	High	New	if (MessageAPI[data.api] !== undefined) { MessageAPI[data.api](); }
transsee.ca.js	Open Redirect	High	CWE-601	event.waitUntil(clients.matchAll({type: \'window\'}).then(function (clientList) { for (var i = 0; i < clientList.length; i++) { var client = clientList[i]; if (decodeURIComponent(client.url).includes(url) && 'focus' in client) return client.focus(); } if (clients.openWindow) return clients.openWindow('predict?s=' + url); }));
transsee.ca.js	Improper Input Validation	Medium	CWE-20	var body = payload.stop + \' on route \' + payload.route + \'\nVehicle \' + payload.fleet; if (payload.hasOwnProperty('nearstop')) body += \' \' + payload.nearstop;
transsee.ca.js	Cross-Site Request Forgery	Medium	CWE-352	event.waitUntil(fetch('/cancelnotestop?id=' + payload.tag + '&user=' + payload.userid));
ytboob.live.js	Improper Input Validation in Message Handling	High	CWE-20	Dt.onMessage({ source: e
katalogmarzen.pl.js	External Script Loading Without Integrity Check	High	New	importScripts(['https://ga2.getresponse.com/wpn/gr_sw.js']);
meteodays.com.js	External Dependency Import from Untrusted CDN	Medium	CWE-444	importScripts(''https://storage.googleapis.com/workbox-cdn/releases/6.4.1/workbox-sw.js'');
meteodays.com.js	Empty Fetch Event Handler	Low	New	self.addEventListener(''fetch'', function () {});
allaguida.it.js	Server Side Request Forgery (SSRF)	Medium	CWE-918	var ve = sensor_url + '/e?site_name=www.allaguida.it&push_send_id=' + body.data.push_send_id + '&event_name=view';
allaguida.it.js	Server Side Request Forgery (SSRF)	Medium	CWE-918	var vc = event.notification.data.sensor + '/e?site_name=www.allaguida.it&push_send_id=' + event.notification.data.push_send_id + '&event_name=click';
allaguida.it.js	Open Redirect	Medium	CWE-601	event.waitUntil(clients.openWindow(event.notification.data.url));
bolia.com.js	Cache Poisoning Due to Weak Asset Matching	High	CWE-434	const matchFound = cacheAssets.some(cacheAsset => requestUrl.includes(cacheAsset));
topdealad.com.js	Improper Cache Validation	Medium	CWE-200	'const a = new a.CacheableResponsePlugin({ statuses: [200] });' topdealad.com.js
frifagbebevegelse.no.js	Deserialization of Untrusted Data	High	CWE-502	var a = new URL(location).searchParams.get('payload'); if (a && (a = JSON.parse(atob(decodeURIComponent(a)))) && a.offline_path) {
frifagbebevegelse.no.js	Insecure Direct Object Reference	Medium	CWE-601	const c = Object.keys(a.data.agdata.actions); (a = a.data.agdata.actions[c[0]]) && b.waitUntil(f({ url: a.url
frifagbebevegelse.no.js	Improper Input Validation	Medium	CWE-20	return caches.match(b.request).then(function (c) { return void 0 === c && ('navigate' === b.request.mode || 'GET' === b.request.method && b.request.headers.get('accept').includes('text/html')) ? caches.match('pwa_offline.html') : c; });
frifagbebevegelse.no.js	Improper Cache Management	Low	CWE-369	return Promise.all(a.filter(function (c) { return !c.startsWith('v3::'); }).map(function (c) { return caches.delete(c); }));
frifagbebevegelse.no.js	Cross-Site Scripting	Medium	CWE-79	return b.waitUntil(self.registration.showNotification(a.title
kenayhome.com.js	External Script Loading Without Validation	High	CWE-434	if (typeof importScripts === \'function\') { importScripts(\'https://cdn.connectif.cloud/scripts/service-worker.js\'); }
relevanceads.com.js	Regular Expression Denial of Service (ReDoS)	High	CWE-1337	const c = JSON.parse('['relevanceads\\\\.com(?:/.*)?/ola/services/.*'
relevanceads.com.js	Improper Check for Unusual or Exceptional Conditions	Medium	CWE-754	const a = new Response(''); if ('body' in e) try { new Response(e.body)
relevanceads.com.js	Breakage of Encapsulation	Medium	CWE-563	if ('body' in e) try { new Response(e.body)
betsure.com.js	Cache Key Collision Leading to Incorrect Content Serving	Medium	New	var n = stripIgnoredUrlParameters(e.request.url, ignoreUrlParametersMatching);
spilnu.dk.js	Permissive Cache Allowlist Leading to Cache Poisoning	High	CWE-918	const s = new Q(Y);
elli.eco.js	Improper Input Validation (Insecure Direct Object Reference)	Medium	CWE-20	if (!t.some(t => e.request.url.includes(t))) { const t = await e.preloadResponse; if (t) return t; } return fetch(e.request);
livingathome.de.js	Improper Input Validation	High	CWE-20	workerGlobalScope.importScripts(`https://static.cleverpush.com/channel/worker/${channelId}.js${workerGlobalScope.location.search}`);
sorianoticias.com.js	Improper Validation of Dynamic Content	High	CWE-601	importScripts('https://sorianoticias.com/fb_config.js?r=5');
sorianoticias.com.js	Improper Input Validation	Medium	CWE-703	event.waitUntil(clients.openWindow(action_click));
sorianoticias.com.js	Improper Neutralization of Special Elements used in an OS Command	Medium	CWE-78	var action_click = event.notification.data.click_action;
fairwear.org.js	Information Exposure Through Error Messages	Medium	CWE-200	console.error(ctx.error, 'Details:', ctx);
socportal.info.js	Hardcoded API Key	High	CWE-200	self[`appKey`] = `679d56be487118b1eed15c617bc9b774`;
socportal.info.js	Remote Code Execution via External Script	High	CWE-444	self.importScripts(`${self[`hostUrl`]}/worker.js`);
istqb.org.js	Insecure Dynamic Function Execution	High	CWE-78	MessageAPI[data.api]();
istqb.org.js	Open Redirect Vulnerability	High	CWE-601	headers: { Location: lastNavigationRequest }
istqb.org.js	Server Side Request Forgery (SSRF)	Medium	CWE-918	return await fetch(event.request);
istqb.org.js	Improper Input Validation	Medium	CWE-20	params.split(`&`).forEach(param => { const [key, val] = param.split(`=`); data[key] = val; });
reve-islam.com.js	External Script Import Without Integrity Check	High	CWE-494	importScripts(\'https://cdn.pushmaster-cdn.xyz/scripts/publishers/61e44bf5c93c1b0009571e77/service-worker.js\');
csswizardry.com.js	Cache Poisoning	Medium	CWE-434	return fetch(event.request);
independenttribune.com.js	Incorrect Variable Reference Leading to Logic Flaw	Medium	CWE-606	for (var i = 0; i < oList.length; i++) { var oClient = clientList[i]; if (oClient.url == oURL.toString() && 'focus' in oClient) { return oClient.focus(); } }
waldwissen.net.js	Deserialization of Untrusted Data	Medium	CWE-502	Code Snippet: const message = data.json();
waldwissen.net.js	Open Redirect via Notification Data	Medium	CWE-601	Code Snippet: clients.openWindow(link);
vegnonveg.com.js	Untrusted External Script Execution	High	CWE-434	importScripts('//cdnt.netcoresmartech.com/swv4.js');
tahlilbazaar.com.js	Insecure External Script Import	High	CWE-434	importScripts('https://van.najva.com/static/js/scripts/tahlilbazaar198-website-14373-f4abaaf0-2f2a-44ee-a366-46caed09473a-service-worker.js');
vtmcollege.com.js	Open Redirect via Notification Click Handler	High	New	clients.openWindow(targetUrl); fetch(apiUrl);
vtmcollege.com.js	Forced Service Worker Update via Malformed Payload	High	New	if (event.data.json().data.swVersion != swVersion) { console.log('SW Version is different, Updating SW'); self.registration.update(); }
vtmcollege.com.js	Insecure URL Handling in getDomainAndHostname	Medium	CWE-807	const urlObj = new URL(url); return { hostname: urlObj.hostname };
online-solitaire.com.js	Open Redirect via Untrusted URL Handling	Medium	CWE-601	const clickAction = event.notification.data.url || '/';
online-solitaire.com.js	Insecure Dynamic Data Handling in Notifications	Medium	CWE-79	const notificationTitle = payload.data.title || 'Daily challenge available';
chapintv.com.js	Hardcoded API Key Exposure	High	CWE-798	self[`appKey`] = `6a57e92d68003389aa13eff76da827dc`;
chapintv.com.js	Remote Code Execution via External Script Load	High	CWE-434	self.importScripts(`${self[`hostUrl`]}/worker.js`);
crichd.com.co.js	Untrusted External Script Import	High	CWE-434	importScripts(\'https://www.push-services.com/integration/request/105982481/\');
museum-digital.de.js	Improper Handling of Credentials in Caching	High	CWE-548	var urlsToCache = ['css/md-de.css', '/logo/md-de-logo-32px.png', '/logo/md-de-logo-64px.png', '/logo/md-de-logo-128px.png'];
museum-digital.de.js	Cache Not Updated with New Responses	Medium	New	return fetch(fetchRequest).then(function (response) { if (!response || response.status !== 200 || response.type !== 'basic') { return response; } var responseToCache = response.clone(); return response; }).catch(() => { console.log('Problem'); if (event.request.url.indexOf('index.php?') == -1) return; else { console.log('Fixing'); return caches.open(CACHE_NAME).then(function (cache) { return cache.match('index.php'); }); } });
miinto.no.js	Improper Authentication	High	CWE-285	const navigationRoute = new workbox.routing.NavigationRoute(({ event }) => { const request = event.request; return htmlHandler.handle({ event, request }).catch(() => caches.match(OFFLINE_HTML, { ignoreSearch: true })); });
century21global.com.js	Use of Weak Cryptographic Algorithm (SHA-1)	High	CWE-327	const utf8 = str; const words32 = stringToWords32(utf8, Endian.Big); return _sha1(words32, utf8.length * 8);
century21global.com.js	Insecure Randomness in Cache Busting	Medium	New	return url + (url.indexOf(\'?\') === -1 ? \'?\' : \'&\') + \'ngsw-cache-bust=\' + Math.random();
century21global.com.js	Exposure of Debug Information	High	CWE-200	return this.adapter.newResponse(`${msgState}\n\n${msgVersions}\n\n${msgIdle}`, { headers: this.adapter.newHeaders({ \'Content-Type\': \'text/plain\' }) });
century21global.com.js	Insecure Fetch Handling (SSRF Risk)	Medium	CWE-918	return this.scope.fetch(req);
century21global.com.js	Improper Input Validation in Regex	Medium	CWE-770	const regex = new RegExp(spec.regex);
leadingdigitalgovs.org.js	Exposure of Sensitive Information (Firebase API Key)	High	CWE-532	const options = { firebaseConfig: { apiKey: \'AIzaSyBZViOCJuSgm-kAjkVnXXT1BR9Jme398Tg\' } };
leadingdigitalgovs.org.js	Deserialization of Untrusted Data (Push Event Payload)	Medium	CWE-502	const payload = JSON.parse(event.data.json().data.notification);
leadingdigitalgovs.org.js	Open Redirect via Unvalidated URL (Notification Click)	High	CWE-601	clients.openWindow(targetUrl);
theirishroadtrip.com.js	Vulnerable Cache Key Construction	High	CWE-200	var trellisCache = version + 'trellisCache';
theirishroadtrip.com.js	Insecure Cache Busting	Medium	CWE-327	const { cacheKeyWillBeUsed } = this._precacheController.getCacheKeyForURL(e.url);
theirishroadtrip.com.js	Insufficient Cache Validation	Medium	CWE-208	return e.status >= 400 ? null : e
theirishroadtrip.com.js	Weak Cache Expiration	Low	CWE-399	const { statuses: [0
theirishroadtrip.com.js	Insecure Cache Deletion	Medium	CWE-362	await caches.delete(e);
theirishroadtrip.com.js	Insecure Cache Key Generation	Medium	CWE-200	const { cacheKeyWillBeUsed } = this._precacheController.getCacheKeyForURL(e.url);
theirishroadtrip.com.js	Insecure Cache Key Construction	Medium	CWE-200	const { cacheKeyWillBeUsed } = this._precacheController.getCacheKeyForURL(e.url);
theirishroadtrip.com.js	Insecure Cache Key Generation	Medium	CWE-200	const { cacheKeyWillBeUsed } = this._precacheController.getCacheKeyForURL(e.url);
theirishroadtrip.com.js	Insecure Cache Key Construction	Medium	CWE-200	const { cacheKeyWillBeUsed } = this._precacheController.getCacheKeyForURL(e.url);
theirishroadtrip.com.js	Insecure Cache Key Generation	Medium	CWE-200	const { cacheKeyWillBeUsed } = this._precacheController.getCacheKeyForURL(e.url);
everythingzoomer.com.js	Insecure Cache Busting	Medium	CWE-319	'var o = n.bust
indian-tv.cz.js	Cache Poisoning via Unvalidated Cached Responses	High	CWE-444	if (event.request.method === 'GET' && (url.pathname.indexOf('/dist/') === 0 || url.pathname.indexOf('/uploads/emojis/') === 0)) { event.respondWith(async function () { const cache = await caches.open(assetsCacheKey); let response = await cache.match(event.request); if (response) { if (debug) console.log('ServiceWorker: Serving from cache', url.pathname); return response; } try { if (debug) console.log('ServiceWorker: Fetching', url.pathname); response = await fetch(event.request); await cache.put(event.request, response.clone()); return response; } catch (e) { if (debug) console.error('ServiceWorker: Fetch failed', e); if (response !== undefined) { return response; } } }()); }
prudential.com.vn.js	Insecure External Script Loading	High	CWE-929	importScripts('//cdnt.netcoresmartech.com/swv4.js');
prudential.com.vn.js	Exposure of Sensitive Information	High	CWE-532	var config = { apiKey: 'AIzaSyC9ECcfyl3VnQj7XadMs09CugeDlcm9CcE', messagingSenderId: '1093591369560', appId: '1:1093591369560:web:118afac14df743116e872d', projectId: 'pulselead-netcoresmartech-prod', user_key: 'ADGMOT35CHFLVDHBJNIG50K96BG9MQQALRQNNS79KODULCNC8TSG', siteid: '3ac4deebb6d8dd4fe6f79fb8c9edd9d4' };
lmc.cz.js	Improper Neutralization of Server-Side Request Forgery in Service Worker	Medium	CWE-918	self.addEventListener('fetch', function (event) { event.respondWith(fetch(event.request)); });
sikkom.nl.js	CORS Bypass via Request Modification	High	New	const requestInterceptor = { requestWillFetch({ request }) { if (request.cache === 'only-if-cached' && request.mode === 'no-cors') { return new Request(request.url, { ...request, cache: 'default', mode: 'no-cors' }); } return request; } };
aptelia.pl.js	Cache Poisoning via Untrusted 'refreshOffline' Event	High	New	self.addEventListener('refreshOffline', function (response) { return caches.open(cacheName.offlinePage).then(function (cache) { return cache.put(offlinePage, response); }); });
eroscripts.com.js	CSRF Vulnerability	High	CWE-352	fetch(`${n}/chat/${t}.json`, { credentials: \'include\', headers: { \'Content-Type\': \'application/x-www-form-urlencoded; charset=UTF-8\', \'X-CSRF-Token\': i }, body: `message=${e.reply}`, method: \'POST\', mode: \'cors\' });
vegis.ro.js	Untrusted External Script Import	Medium	CWE-444	importScripts('https://cdn.segmentify.com/v3/push/sw.js');
vegis.ro.js	Hardcoded Sensitive Data	Medium	CWE-798	updateRegistration('fe6d6e15-0a4f-43a4-8b26-a7f3b40b460f', 'https://gimli-eu.segmentify.com/');
bcfc.com.js	Improper Input Validation in Cache Key Generation	High	CWE-20	const { cacheKey: e
bcfc.com.js	Cross-Site Cache Poisoning Risk	High	CWE-918	const a = new Request(t
bcfc.com.js	Insecure Cache Busting Mechanism	Medium	CWE-22	const c = new URL(e
bcfc.com.js	Cache Key Collision Vulnerability	Medium	CWE-132	if (this._urlsToCacheKeys.has(s) && this._urlsToCacheKeys.get(s) !== e) throw new l('add-to-cache-list-conflicting-entries'
bcfc.com.js	Unvalidated URL Parameter Handling	Medium	CWE-79	const a = function (e
emedevents.com.js	Hardcoded API Key	High	CWE-798	const firebaseConfig: { projectId: \'emedevents-31bdd\', messagingSenderId: \'469192764730\', appId: \'1:469192764730:web:af74dedc8b83261a92b403\', apiKey: \'AIzaSyBws6uZgdcFgq2D-KOZNnrLV_OvN6oINc8\' }
emedevents.com.js	Insecure Data Transmission of Push Subscription Keys	Medium	CWE-311	fetch(options.api_url, { method: \'POST\', headers: { \'Content-Type\': \'application/json\' }, body: JSON.stringify({ domain, token, url: url, endpoint: newSubscription.endpoint, auth: newSubscription.keys.auth, p256dh: newSubscription.keys.p256dh }) })
emedevents.com.js	Insecure Storage of Sensitive Data in IndexedDB	Medium	CWE-312	const request = objectStore.put({ id: key, data: value });
emedevents.com.js	Open Redirect via Notification Data	Medium	CWE-601	clients.openWindow(targetUrl);
emedevents.com.js	SSRF via Unvalidated API URL in Notification Data	Medium	CWE-918	fetch(apiUrl);
bestline.net.js	Empty Fetch Event Handler	High	New	self.addEventListener('fetch', () => {});
bestline.net.js	Insecure URL Parameter Handling	Medium	CWE-601	function addParamsNative(url = '', params = {}) { const [noHash = '', hash = ''] = url.split('#'); let [domain = '', search = ''] = noHash.split('?'); search = search ? [search] : []; const searchStr = search.concat(Object.keys(params).map(k => { const v = params[k]; return v === true ? k : template('<k>=<v>', { k, v }); } )).join('&'); const res = domain + (searchStr ? template('?<0>', [searchStr]) : '') + (hash ? template('#<0>', [hash]) : ''); return res; }
bestline.net.js	Unrestricted Cache Deletion	Medium	CWE-379	self.addEventListener('message', async function handler(event) { if (event.data.command === 'deletePagesCache') { let success; try { await caches.delete(SITE_PAGES_CACHE_NAME); log('deleted', SITE_PAGES_CACHE_NAME, 'by request from page'); success = true; } catch (e) { success = false; } event.ports[0].postMessage({ success, cacheName: SITE_PAGES_CACHE_NAME }); } });
agupdate.com.js	Open Redirect via Untrusted URL Handling	Medium	CWE-601	let oURL = new URL(oData.url);
c77.com.js	Improper Input Validation in URL Exclusion Logic	High	New	self.addEventListener('fetch', e => { for (let i = 0; i < offlineExclude.length; i++) { if (e.request.url.indexOf(offlineExclude[i]) !== -1) return false; }
c77.com.js	Flawed URL Processing Logic in Fetch Handler	High	New	var u = e.request.url.replace('https://', ''); var n = u.indexOf('/'); if (u.slice(n, 60).indexOf('.') == -1) { return false; }
c77.com.js	Insecure Handling of Notification Content	Medium	CWE-79	const title = data.notification.title || ''; const options = { body: data.notification.body, icon: data.notification.image || '', badge: data.notification.image || '' };
